id,category,content_brief,generation_prompt,negative_prompt,lora_caption
0015,full body,"cloth-heavy wanderer with small metal accents, staff and satchel, night desert ruins","cloth-heavy wanderer with small metal accents, staff and satchel, night desert ruins. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult wanderer wearing layered cloth with small metal accents, carrying a staff and satchel, night desert ruins behind them, full body"
0016,action,"sword slash crossing the frame, adult duelist lunging forward, hard-edged energy fragments","sword slash crossing the frame, adult duelist lunging forward, hard-edged energy fragments. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult duelist lunging forward with a sword slash crossing the frame, energy fragments around them, action shot"
0017,action,"leaping lancer in diagonal composition, broken banners and debris trailing behind","leaping lancer in diagonal composition, broken banners and debris trailing behind. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult lancer leaping in a diagonal composition, broken banners and debris trailing behind them, action shot"
0018,action,"pilot ejecting from a broken machine wing, cables and coat panels forming arcs","pilot ejecting from a broken machine wing, cables and coat panels forming arcs. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult pilot ejecting from a broken machine wing, cables and coat panels forming arcs around them, action shot"
0019,action,"shield bearer blocking an impact, fragments radiating outward, low camera angle","shield bearer blocking an impact, fragments radiating outward, low camera angle. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult shield bearer blocking an impact with fragments radiating outward, low camera angle, action shot"
0020,action,"long-haired android stepping through sparks, cables sweeping across the frame, weapon lowered","long-haired android stepping through sparks, cables sweeping across the frame, weapon lowered. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a long-haired android stepping through sparks with cables sweeping across the frame and a weapon lowered, action shot"
0021,wide environment,"lone figure in a ruined futuristic avenue, vertical towers, huge moon, small human scale","lone figure in a ruined futuristic avenue, vertical towers, huge moon, small human scale. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a lone adult figure standing in a ruined futuristic avenue with vertical towers and a huge moon, wide shot"
0022,wide environment,"cathedral-mecha skyline at night, two tiny figures on a high bridge, clouds behind spires","cathedral-mecha skyline at night, two tiny figures on a high bridge, clouds behind spires. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, two tiny adult figures standing on a high bridge in front of a cathedral-mecha skyline at night, wide shot"
0023,wide environment,"flooded city with reflective black water, abandoned armor pieces, distant lights","flooded city with reflective black water, abandoned armor pieces, distant lights. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a flooded city with reflective black water, abandoned armor pieces, and distant lights, wide shot, no people"
0024,wide environment,"interior throne room with tall windows, empty black throne, banners torn by wind","interior throne room with tall windows, empty black throne, banners torn by wind. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an interior throne room with tall windows, an empty black throne, and torn banners blowing in the wind, wide shot, no people"
0025,wide environment,"floating fortress silhouette above broken clouds, one airship approaching from below","floating fortress silhouette above broken clouds, one airship approaching from below. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a floating fortress silhouette above broken clouds with one airship approaching from below, wide shot"
0026,object study,"ornate sword and scabbard placed on dark cloth, cracked gem in the guard","ornate sword and scabbard placed on dark cloth, cracked gem in the guard. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an ornate sword and scabbard placed on dark cloth with a cracked gem in the guard, object study"
0027,object study,"helmet with glass visor and gold trim resting on a stone step, rain droplets on surface","helmet with glass visor and gold trim resting on a stone step, rain droplets on surface. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a helmet with a glass visor and gold trim resting on a stone step with rain droplets on its surface, object study"
0028,mech study,"winged humanoid machine standing on a launch rail, exposed joints and long blade arms","winged humanoid machine standing on a launch rail, exposed joints and long blade arms. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a winged humanoid machine standing on a launch rail with exposed joints and long blade arms, mech study"
0029,creature study,"armored celestial wolf walking through ruined snow, small bells and metal plates on its harness","armored celestial wolf walking through ruined snow, small bells and metal plates on its harness. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an armored celestial wolf walking through ruined snow with small bells and metal plates on its harness, creature study"
0030,vehicle study,"gothic starfighter parked under a broken launch arch, open cockpit, cables on the ground","gothic starfighter parked under a broken launch arch, open cockpit, cables on the ground. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a gothic starfighter parked under a broken launch arch with an open cockpit and cables on the ground, vehicle study"
